filename,class,class_id,name_vi,name_en,width,height,md5,size_bytes
7 giải pháp cứu Hồ Gươm và bảo vệ cụ rùa - Báo VnExpress.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,4ef9e53685edcaf65dd5f070bc63d85c,30799
7.000+ ảnh đẹp nhất về Tháp Rùa · Tải xuống miễn phí 100_ · Ảnh có sẵn của  Pexels.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,041743f0050432bd841b9252f8d77e6e,34580
"Ai có công xây dựng Tháp Rùa, cầu Thê Húc ở Hà Nội_ _ Znews.vn.jpg",ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,2300897818545adb78d002678224f6c6,16325
Chuyện về Bá hộ Kim xây Tháp Rùa - Hà Nội.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,a4a89efc48efa97a2a387f7eed39a676,28017
Chuyện xưa Hồ Gươm.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,eb330bde8e88c0daa2ee4e16cfa8161b,23159
Chuyện ít người biết về Tháp Rùa Hồ Gươm.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,effe151e4c81dbc21c47566fd2fcde4a,35274
Chương trình 3D Mapping thắp sáng hồ Hoàn Kiếm - Báo VnExpress Kinh doanh.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,90dea97585a588b485b1eb594bdc152d,17973
Cách tạo dáng chụp ảnh ở hồ Gươm đẹp cho bạn lưu giữ kỉ niệm.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,ee7c9dd647f70d09b0a6fc2038640daa,30516
Cây mõ Hồ Gươm thay màu lá vàng đẹp thơ mộng.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,1d260db2e213606bad7412e11d5de5e7,21537
Công nhận khu vực hồ Hoàn Kiếm và phố cổ là khu du lịch cấp Thành phố _ Tin  nhanh chứng khoán.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,b8e24cfa7e659d9a722b81a9ab2cd757,33606
Cảnh quan ven hồ Gươm xưa và nay _ 36hn.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,c62cfe7ea826f751b6dd8a17781ae686,26337
Cụm di tích quốc gia đặc biệt Hồ Hoàn Kiếm và đền Ngọc Sơn – Di tích đền Bà  Kiệu _ Ban quản lý di tích danh thắng Hà Nội.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,7b8cd62f312d5fbf8c3f5c05c67d7f15,21618
"Di dời 11 trụ sở cơ quan và nhiều hộ dân quanh Hồ Gươm - 12.03.2025,  Sputnik Việt Nam.jpg",ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,b2063cad366edd896672ad2c29c261d8,32533
Du lịch Hà Nội_ Hồ Gươm rực sáng mừng kỷ niệm 60 năm giải phóng Thủ đô (1).jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,5be3cb66405ab12738008b13f33450f6,27152
Du lịch Hà Nội_ Hồ Gươm rực sáng mừng kỷ niệm 60 năm giải phóng Thủ đô.jpg,ho_guom,0,Hồ Gươm,Hoan Kiem Lake,224,224,db3fea6fce7b487ef450c32233a63818,25993
